nametype,reclat,name,fall,recclass,id,geolocation,year,:@computed_region_cbhk_fwbd,mass,:@computed_region_nnqa_25f4,reclong
Valid,38.183330,Messina,Fell,L5,15495,"{'type': 'Point', 'coordinates': [15.56667, 38.18333]}",1955-01-01T00:00:00.000,,2405,,15.566670
Valid,50.583330,Meuselbach,Fell,L6,16626,"{'type': 'Point', 'coordinates': [11.1, 50.58333]}",1897-01-01T00:00:00.000,,870,,11.100000
Valid,45.766670,Mezel,Fell,L6,16627,"{'type': 'Point', 'coordinates': [3.25, 45.76667]}",1949-01-01T00:00:00.000,,1300,,3.250000
Valid,46.500000,Mezö-Madaras,Fell,L3.7,16628,"{'type': 'Point', 'coordinates': [25.73333, 46.5]}",1852-01-01T00:00:00.000,,22700,,25.733330
Valid,25.900000,Mhow,Fell,L6,16629,"{'type': 'Point', 'coordinates': [83.61667, 25.9]}",1827-01-01T00:00:00.000,,350,,83.616670
Valid,34.800000,Mianchi,Fell,H5,16631,"{'type': 'Point', 'coordinates': [111.7, 34.8]}",1980-01-01T00:00:00.000,,1100,,111.700000
Valid,54.566670,Middlesbrough,Fell,L6,16632,"{'type': 'Point', 'coordinates': [-1.16667, 54.56667]}",1881-01-01T00:00:00.000,,1600,,-1.166670
Valid,42.907500,Mifflin,Fell,L5,52090,"{'type': 'Point', 'coordinates': [-90.36556, 42.9075]}",2010-01-01T00:00:00.000,41,3584,2996,-90.365560
Valid,48.066670,Mighei,Fell,CM2,16634,"{'type': 'Point', 'coordinates': [30.96667, 48.06667]}",1889-01-01T00:00:00.000,,8000,,30.966670
Valid,35.568330,Mihonoseki,Fell,L6,16635,"{'type': 'Point', 'coordinates': [133.22, 35.56833]}",1992-01-01T00:00:00.000,,6380,,133.220000
Valid,46.233330,Mike,Fell,L6,16636,"{'type': 'Point', 'coordinates': [17.53333, 46.23333]}",1944-01-01T00:00:00.000,,224.2,,17.533330
Valid,46.183330,Milena,Fell,L6,16640,"{'type': 'Point', 'coordinates': [16.1, 46.18333]}",1842-01-01T00:00:00.000,,10000,,16.100000
Valid,-26.450000,Millbillillie,Fell,Eucrite-mmict,16643,"{'type': 'Point', 'coordinates': [120.36667, -26.45]}",1960-01-01T00:00:00.000,,330000,,120.366670
Valid,35.400000,Miller (Arkansas),Fell,H5,16645,"{'type': 'Point', 'coordinates': [-92.05, 35.4]}",1930-01-01T00:00:00.000,15,16700,11,-92.050000
Valid,35.078330,Minamino,Fell,L,16692,"{'type': 'Point', 'coordinates': [136.93333, 35.07833]}",1632-01-01T00:00:00.000,,1040,,136.933330
Valid,37.283330,Mineo,Fell,Pallasite,16696,"{'type': 'Point', 'coordinates': [14.7, 37.28333]}",1826-01-01T00:00:00.000,,42,,14.700000
Valid,32.333330,Min-Fan-Zhun,Fell,LL6,16697,"{'type': 'Point', 'coordinates': [120.66667, 32.33333]}",1952-01-01T00:00:00.000,,5500,,120.666670
Valid,47.700000,Minnichhof,Fell,OC,16700,"{'type': 'Point', 'coordinates': [16.6, 47.7]}",1905-01-01T00:00:00.000,,550,,16.600000
Valid,25.683330,Mirzapur,Fell,L5,16701,"{'type': 'Point', 'coordinates': [83.25, 25.68333]}",1910-01-01T00:00:00.000,,8510,,83.250000
Valid,56.666670,Misshof,Fell,H5,16703,"{'type': 'Point', 'coordinates': [23, 56.66667]}",1890-01-01T00:00:00.000,,5800,,23.000000
Valid,61.733330,Mjelleim,Fell,H,16707,"{'type': 'Point', 'coordinates': [5.93333, 61.73333]}",1898-01-01T00:00:00.000,,100.7,,5.933330
Valid,46.800000,Mocs,Fell,L5-6,16709,"{'type': 'Point', 'coordinates': [24.03333, 46.8]}",1882-01-01T00:00:00.000,,300000,,24.033330
Valid,38.500000,Modoc (1905),Fell,L6,16711,"{'type': 'Point', 'coordinates': [-101.1, 38.5]}",1905-01-01T00:00:00.000,17,35000,1290,-101.100000
Valid,-39.633330,Mokoia,Fell,CV3,16713,"{'type': 'Point', 'coordinates': [174.4, -39.63333]}",1908-01-01T00:00:00.000,,4500,,174.400000
Valid,38.116670,Molina,Fell,H5,16715,"{'type': 'Point', 'coordinates': [-1.16667, 38.11667]}",1858-01-01T00:00:00.000,,144000,,-1.166670
Valid,-31.250000,Molteno,Fell,Howardite,16717,"{'type': 'Point', 'coordinates': [26.46667, -31.25]}",1953-01-01T00:00:00.000,,150,,26.466670
Valid,31.608330,Monahans (1998),Fell,H5,16719,"{'type': 'Point', 'coordinates': [-102.85833, 31.60833]}",1998-01-01T00:00:00.000,23,2587,2957,-102.858330
Valid,35.250000,Monroe,Fell,H4,16720,"{'type': 'Point', 'coordinates': [-80.5, 35.25]}",1849-01-01T00:00:00.000,37,8600,636,-80.500000
Valid,38.016670,Monte das Fortes,Fell,L5,16725,"{'type': 'Point', 'coordinates': [-8.25, 38.01667]}",1950-01-01T00:00:00.000,,4885,,-8.250000
Valid,43.266670,Monte Milone,Fell,L5,16726,"{'type': 'Point', 'coordinates': [13.35, 43.26667]}",1846-01-01T00:00:00.000,,3130,,13.350000
Valid,43.390560,Montferré,Fell,H5,16727,"{'type': 'Point', 'coordinates': [1.9625, 43.39056]}",1923-01-01T00:00:00.000,,149000,,1.962500
Valid,47.633330,Montlivault,Fell,L6,16729,"{'type': 'Point', 'coordinates': [1.58333, 47.63333]}",1838-01-01T00:00:00.000,,500,,1.583330
Valid,-15.966670,Monze,Fell,L6,16733,"{'type': 'Point', 'coordinates': [27.35, -15.96667]}",1950-01-01T00:00:00.000,,,,27.350000
Valid,35.416670,Moore County,Fell,Eucrite-cm,16736,"{'type': 'Point', 'coordinates': [-79.38333, 35.41667]}",1913-01-01T00:00:00.000,37,1880,2431,-79.383330
Valid,52.450000,Mooresfort,Fell,H5,16737,"{'type': 'Point', 'coordinates': [-8.33333, 52.45]}",1810-01-01T00:00:00.000,,3520,,-8.333330
Valid,-40.975000,Moorleah,Fell,L6,16738,"{'type': 'Point', 'coordinates': [145.6, -40.975]}",1930-01-01T00:00:00.000,,8887.5,,145.600000
Valid,28.783330,Moradabad,Fell,L6,16740,"{'type': 'Point', 'coordinates': [78.83333, 28.78333]}",1808-01-01T00:00:00.000,,70,,78.833330
Valid,49.600000,Morávka,Fell,H5,16742,"{'type': 'Point', 'coordinates': [18.53333, 49.6]}",2000-01-01T00:00:00.000,,633,,18.533330
Valid,44.600000,Mornans,Fell,H5,16747,"{'type': 'Point', 'coordinates': [5.13333, 44.6]}",1875-01-01T00:00:00.000,,1300,,5.133330
Valid,59.433330,Moss,Fell,CO3.6,36592,"{'type': 'Point', 'coordinates': [10.7, 59.43333]}",2006-01-01T00:00:00.000,,3763,,10.700000
Valid,26.833330,Moti-ka-nagla,Fell,H6,16759,"{'type': 'Point', 'coordinates': [77.33333, 26.83333]}",1868-01-01T00:00:00.000,,1500,,77.333330
Valid,45.200000,Motta di Conti,Fell,H4,16762,"{'type': 'Point', 'coordinates': [8.5, 45.2]}",1868-01-01T00:00:00.000,,9150,,8.500000
Valid,-29.800000,Mount Browne,Fell,H6,16766,"{'type': 'Point', 'coordinates': [141.7, -29.8]}",1902-01-01T00:00:00.000,,11300,,141.700000
Valid,18.700000,Mount Tazerzait,Fell,L5,16804,"{'type': 'Point', 'coordinates': [4.8, 18.7]}",1991-01-01T00:00:00.000,,110000,,4.800000
Valid,44.083330,Mount Vaisi,Fell,Stone-uncl,16805,"{'type': 'Point', 'coordinates': [6.86667, 44.08333]}",1637-01-01T00:00:00.000,,17000,,6.866670
Valid,-11.500000,Mtola,Fell,Stone-uncl,16820,"{'type': 'Point', 'coordinates': [33.5, -11.5]}",1944-01-01T00:00:00.000,,1100,,33.500000
Valid,12.633330,Muddoor,Fell,L5,16841,"{'type': 'Point', 'coordinates': [77.01667, 12.63333]}",1865-01-01T00:00:00.000,,4400,,77.016670
Valid,9.333330,Mulletiwu,Fell,L,16851,"{'type': 'Point', 'coordinates': [80.83333, 9.33333]}",1795-01-01T00:00:00.000,,25.5,,80.833330
Valid,24.500000,Muraid,Fell,L6,16874,"{'type': 'Point', 'coordinates': [90.21667, 24.5]}",1924-01-01T00:00:00.000,,4703,,90.216670
Valid,-36.616670,Murchison,Fell,CM2,16875,"{'type': 'Point', 'coordinates': [145.2, -36.61667]}",1969-01-01T00:00:00.000,,100000,,145.200000
Valid,36.600000,Murray,Fell,CM2,16882,"{'type': 'Point', 'coordinates': [-88.1, 36.6]}",1950-01-01T00:00:00.000,36,12600,237,-88.100000
Valid,26.133330,Muzaffarpur,Fell,"Iron, IAB-sHL",16885,"{'type': 'Point', 'coordinates': [85.53333, 26.13333]}",1964-01-01T00:00:00.000,,1245,,85.533330
Valid,23.050000,Myhee Caunta,Fell,OC,16887,"{'type': 'Point', 'coordinates': [72.63333, 23.05]}",1842-01-01T00:00:00.000,,,,72.633330
Valid,12.000000,Nadiabondi,Fell,H5,16889,"{'type': 'Point', 'coordinates': [1, 12]}",1956-01-01T00:00:00.000,,8165,,1.000000
Valid,38.121670,Nagai,Fell,L6,16890,"{'type': 'Point', 'coordinates': [140.06167, 38.12167]}",1922-01-01T00:00:00.000,,1810,,140.061670
Valid,26.983330,Nagaria,Fell,Eucrite-cm,16892,"{'type': 'Point', 'coordinates': [78.21667, 26.98333]}",1875-01-01T00:00:00.000,,20,,78.216670
Valid,49.166670,Nagy-Borové,Fell,L5,16893,"{'type': 'Point', 'coordinates': [19.5, 49.16667]}",1895-01-01T00:00:00.000,,6100,,19.500000
Valid,31.316670,Nakhla,Fell,Martian (nakhlite),16898,"{'type': 'Point', 'coordinates': [30.35, 31.31667]}",1911-01-01T00:00:00.000,,10000,,30.350000
Valid,13.733330,Nakhon Pathom,Fell,L6,16899,"{'type': 'Point', 'coordinates': [100.08333, 13.73333]}",1923-01-01T00:00:00.000,,23200,,100.083330
Valid,12.283330,Nammianthal,Fell,H5,16902,"{'type': 'Point', 'coordinates': [79.2, 12.28333]}",1886-01-01T00:00:00.000,,4500,,79.200000
Valid,35.666670,Nan Yang Pao,Fell,L6,16903,"{'type': 'Point', 'coordinates': [103.5, 35.66667]}",1917-01-01T00:00:00.000,,52900,,103.500000
Valid,38.416670,Nanjemoy,Fell,H6,16904,"{'type': 'Point', 'coordinates': [-77.16667, 38.41667]}",1825-01-01T00:00:00.000,45,7500,419,-77.166670
Valid,32.116670,Nantong,Fell,H6,16907,"{'type': 'Point', 'coordinates': [121.8, 32.11667]}",1984-01-01T00:00:00.000,,529,,121.800000
Valid,19.250000,Naoki,Fell,H6,16908,"{'type': 'Point', 'coordinates': [77, 19.25]}",1928-01-01T00:00:00.000,,17000,,77.000000
Valid,33.750000,Naragh,Fell,H6,16909,"{'type': 'Point', 'coordinates': [51.5, 33.75]}",1974-01-01T00:00:00.000,,2700,,51.500000
Valid,-34.050000,Narellan,Fell,L6,16912,"{'type': 'Point', 'coordinates': [150.68889, -34.05]}",1928-01-01T00:00:00.000,,367.5,,150.688890
Valid,42.516670,Narni,Fell,Stone-uncl,16914,"{'type': 'Point', 'coordinates': [12.51667, 42.51667]}",0921-01-01T00:00:00.000,,,,12.516670
Valid,-21.733330,Nassirah,Fell,H4,16922,"{'type': 'Point', 'coordinates': [165.9, -21.73333]}",1936-01-01T00:00:00.000,,347,,165.900000
Valid,,Natal,Fell,Stone-uncl,16923,,1973-01-01T00:00:00.000,,1.4,,
Valid,21.250000,Nawapali,Fell,CM2,16927,"{'type': 'Point', 'coordinates': [83.66667, 21.25]}",1890-01-01T00:00:00.000,,105,,83.666670
Valid,36.449170,Neagari,Fell,L6,16934,"{'type': 'Point', 'coordinates': [136.46528, 36.44917]}",1995-01-01T00:00:00.000,,420,,136.465280
Valid,18.683330,Nedagolla,Fell,"Iron, ungrouped",16935,"{'type': 'Point', 'coordinates': [83.48333, 18.68333]}",1870-01-01T00:00:00.000,,4500,,83.483330
Valid,9.500000,Nejo,Fell,L6,16941,"{'type': 'Point', 'coordinates': [35.33333, 9.5]}",1970-01-01T00:00:00.000,,2450,,35.333330
Valid,56.500000,Nerft,Fell,L6,16945,"{'type': 'Point', 'coordinates': [21.5, 56.5]}",1864-01-01T00:00:00.000,,10250,,21.500000
Valid,47.525000,Neuschwanstein,Fell,EL6,16950,"{'type': 'Point', 'coordinates': [10.80833, 47.525]}",2002-01-01T00:00:00.000,,6189,,10.808330
Valid,40.000000,New Concord,Fell,L6,16953,"{'type': 'Point', 'coordinates': [-81.76667, 40]}",1860-01-01T00:00:00.000,38,230000,2615,-81.766670
Valid,15.366670,New Halfa,Fell,L4,16954,"{'type': 'Point', 'coordinates': [35.68333, 15.36667]}",1994-01-01T00:00:00.000,,12000,,35.683330
Valid,29.947180,New Orleans,Fell,H5,16960,"{'type': 'Point', 'coordinates': [-90.10976, 29.94718]}",2003-01-01T00:00:00.000,22,19256,1667,-90.109760
Valid,-7.450000,Ngawi,Fell,LL3.6,16966,"{'type': 'Point', 'coordinates': [111.41667, -7.45]}",1883-01-01T00:00:00.000,,1393,,111.416670
Valid,13.850000,N'Goureyma,Fell,"Iron, ungrouped",16968,"{'type': 'Point', 'coordinates': [-4.38333, 13.85]}",1900-01-01T00:00:00.000,,37500,,-4.383330
Valid,49.033330,Nicorps,Fell,Stone-uncl,16970,"{'type': 'Point', 'coordinates': [-1.43333, 49.03333]}",1750-01-01T00:00:00.000,,,,-1.433330
Valid,,Niger (L6),Fell,L6,16974,,1967-01-01T00:00:00.000,,3.3,,
Valid,,Niger (LL6),Fell,LL6,16975,,1967-01-01T00:00:00.000,,3.3,,
Valid,52.450000,Nikolaevka,Fell,H4,16976,"{'type': 'Point', 'coordinates': [78.63333, 52.45]}",1935-01-01T00:00:00.000,,3996,,78.633330
Valid,56.116670,Nikolskoe,Fell,L4,16977,"{'type': 'Point', 'coordinates': [37.33333, 56.11667]}",1954-01-01T00:00:00.000,,6000,,37.333330
Valid,29.866670,Ningbo,Fell,"Iron, IVA",16980,"{'type': 'Point', 'coordinates': [121.48333, 29.86667]}",1975-01-01T00:00:00.000,,14250,,121.483330
Valid,32.925000,Ningqiang,Fell,C3-ung,16981,"{'type': 'Point', 'coordinates': [105.90667, 32.925]}",1983-01-01T00:00:00.000,,4610,,105.906670
Valid,34.200000,Nio,Fell,H3-4,16982,"{'type': 'Point', 'coordinates': [131.56667, 34.2]}",1897-01-01T00:00:00.000,,467,,131.566670
Valid,-28.566670,N'Kandhla,Fell,"Iron, IID",16983,"{'type': 'Point', 'coordinates': [30.7, -28.56667]}",1912-01-01T00:00:00.000,,17200,,30.700000
Valid,44.083330,Nobleborough,Fell,Eucrite-pmict,16984,"{'type': 'Point', 'coordinates': [-69.48333, 44.08333]}",1823-01-01T00:00:00.000,49,2300,1683,-69.483330
Valid,40.085280,Noblesville,Fell,H4-6,16985,"{'type': 'Point', 'coordinates': [-86.055, 40.08528]}",1991-01-01T00:00:00.000,35,483.7,2238,-86.055000
Valid,33.725000,Nogata,Fell,L6,16988,"{'type': 'Point', 'coordinates': [130.75, 33.725]}",0861-01-01T00:00:00.000,,472,,130.750000
Valid,-32.366670,Nogoya,Fell,CM2,16989,"{'type': 'Point', 'coordinates': [-59.83333, -32.36667]}",1879-01-01T00:00:00.000,,4000,,-59.833330
Valid,36.216670,Norfork,Fell,"Iron, IIIAB",16994,"{'type': 'Point', 'coordinates': [-92.26667, 36.21667]}",1918-01-01T00:00:00.000,15,1050,10,-92.266670
Valid,39.683330,Norton County,Fell,Aubrite,17922,"{'type': 'Point', 'coordinates': [-99.86667, 39.68333]}",1948-01-01T00:00:00.000,17,1100000,1252,-99.866670
Valid,45.291670,Noventa Vicentina,Fell,H4,17930,"{'type': 'Point', 'coordinates': [11.52722, 45.29167]}",1971-01-01T00:00:00.000,,177,,11.527220
Valid,54.816670,Novo-Urei,Fell,Ureilite,17933,"{'type': 'Point', 'coordinates': [46, 54.81667]}",1886-01-01T00:00:00.000,,1900,,46.000000
Valid,58.550000,Novy-Ergi,Fell,Stone-uncl,17934,"{'type': 'Point', 'coordinates': [31.33333, 58.55]}",1662-01-01T00:00:00.000,,,,31.333330
Valid,56.000000,Novy-Projekt,Fell,OC,17935,"{'type': 'Point', 'coordinates': [22, 56]}",1908-01-01T00:00:00.000,,1001,,22.000000
Valid,42.916670,Noyan-Bogdo,Fell,L6,17936,"{'type': 'Point', 'coordinates': [102.46667, 42.91667]}",1933-01-01T00:00:00.000,,250,,102.466670
Valid,24.300000,Nuevo Mercurio,Fell,H5,17938,"{'type': 'Point', 'coordinates': [-102.13333, 24.3]}",1978-01-01T00:00:00.000,,50000,,-102.133330
Valid,41.633330,Nulles,Fell,H6,17959,"{'type': 'Point', 'coordinates': [0.75, 41.63333]}",1851-01-01T00:00:00.000,,5000,,0.750000
Valid,43.333330,Numakai,Fell,H4,17960,"{'type': 'Point', 'coordinates': [141.86667, 43.33333]}",1925-01-01T00:00:00.000,,363,,141.866670
Valid,21.208330,Nyaung,Fell,"Iron, IIIAB",17969,"{'type': 'Point', 'coordinates': [94.91667, 21.20833]}",1939-01-01T00:00:00.000,,737.6,,94.916670
Valid,47.550000,Nyirábrany,Fell,LL5,17970,"{'type': 'Point', 'coordinates': [22.025, 47.55]}",1914-01-01T00:00:00.000,,1100,,22.025000
Valid,57.783330,Ochansk,Fell,H4,17979,"{'type': 'Point', 'coordinates': [55.26667, 57.78333]}",1887-01-01T00:00:00.000,,500000,,55.266670
Valid,52.283330,Oesede,Fell,H5,17988,"{'type': 'Point', 'coordinates': [8.05, 52.28333]}",1927-01-01T00:00:00.000,,1400,,8.050000
Valid,58.500000,Oesel,Fell,L6,17989,"{'type': 'Point', 'coordinates': [23, 58.5]}",1855-01-01T00:00:00.000,,6000,,23.000000
Valid,47.883330,Ofehértó,Fell,L6,17990,"{'type': 'Point', 'coordinates': [22.03333, 47.88333]}",1900-01-01T00:00:00.000,,3750,,22.033330
Valid,33.283330,Ogi,Fell,H6,17994,"{'type': 'Point', 'coordinates': [130.2, 33.28333]}",1741-01-01T00:00:00.000,,14360,,130.200000
Valid,46.066670,Ohaba,Fell,H5,17995,"{'type': 'Point', 'coordinates': [23.58333, 46.06667]}",1857-01-01T00:00:00.000,,16250,,23.583330
Valid,6.750000,Ohuma,Fell,L5,17996,"{'type': 'Point', 'coordinates': [8.5, 6.75]}",1963-01-01T00:00:00.000,,7700,,8.500000
Valid,38.183330,Ojuelos Altos,Fell,L6,17997,"{'type': 'Point', 'coordinates': [-5.4, 38.18333]}",1926-01-01T00:00:00.000,,5850,,-5.400000
Valid,36.183330,Okabe,Fell,H5,17998,"{'type': 'Point', 'coordinates': [139.21667, 36.18333]}",1958-01-01T00:00:00.000,,194,,139.216670
Valid,35.083330,Okano,Fell,"Iron, IIAB",18000,"{'type': 'Point', 'coordinates': [135.2, 35.08333]}",1904-01-01T00:00:00.000,,4742,,135.200000
Valid,50.833330,Okniny,Fell,LL6,18002,"{'type': 'Point', 'coordinates': [25.5, 50.83333]}",1834-01-01T00:00:00.000,,12000,,25.500000
Valid,52.950000,Oldenburg (1930),Fell,L6,18009,"{'type': 'Point', 'coordinates': [8.16667, 52.95]}",1930-01-01T00:00:00.000,,16570,,8.166670
Valid,39.000000,Oliva-Gandia,Fell,Stone-uncl,18012,"{'type': 'Point', 'coordinates': [-0.03333, 39]}",1520-01-01T00:00:00.000,,,,-0.033330
Valid,38.716670,Olivenza,Fell,LL5,18013,"{'type': 'Point', 'coordinates': [-7.06667, 38.71667]}",1924-01-01T00:00:00.000,,150000,,-7.066670
Valid,39.566670,Olmedilla de Alarcón,Fell,H5,18015,"{'type': 'Point', 'coordinates': [-2.1, 39.56667]}",1929-01-01T00:00:00.000,,40000,,-2.100000
